author_id,created_at,text
119332,2025-08-12T22:10:00.019758,@115817 How can I have a package in transit returned to the shipper? I don't want the package.
VirginAmerica,2025-08-12T22:10:00.120646,@119333 Jamie I am very sorry about the wait for you gate. -Andre
119333,2025-08-12T22:10:00.221093,@VirginAmerica It was 1751 from Seattle
VirginAmerica,2025-08-12T22:10:00.321609,"@119333 Hey, you rhymed!  Sorry about the lack of gate.  What flight are you on? -Julie"
119333,2025-08-12T22:10:00.424161,My plane went from landing early to being late.  Still sitting on plane with no gate! #sfoairport #virginamerica
TwitterSupport,2025-08-12T22:10:00.529510,@119334 Thanks for getting in touch. Send us a message and we'll get started helping you out. https://t.co/eXwzpNPj8C
119334,2025-08-12T22:10:00.629695,@119335 @TwitterSupport Threatening violence. Please respond.
119335,2025-08-12T22:10:00.730673,"@119336 @119337 @119338 @119339 @119340 @119341 Sitting is a sign of surrender &amp; weakness. Have never surrendered nor been forced to!
Assuming you know someone can be dangerous."
119336,2025-08-12T22:10:00.831107,@119337 @119338 @119335 @119339 @119340 @119341 I don't think @119335 read much🤣🤣🤣🤣🤣🤣🤣🤣please Billy follow the advice...just sit down 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
119337,2025-08-12T22:10:00.932338,@119338 @119335 @119339 @119340 @119341 😂😂😂😂😂Put down the crack pipe😂😂😂😂😂
119338,2025-08-12T22:10:01.032965,"@119335 @119339 @119340 @119341 This president had spent MORE in 9 months golfing,  than Obama spent on ALL travel in 8 years. 
Sit down."
119335,2025-08-12T22:10:01.133502,@119339 @119340 @119341 Were you whining about all of Obamas golfing???
119339,2025-08-12T22:10:01.233997,@119340 @119341 Taxpayers are more concerned about the millions of our $$ Trump wastes playing golf.
119340,2025-08-12T22:10:01.335081,@119341 Putin is laughing as he watches washed up retiree Robert Mueller waste millions of tax payer dollars investigating non-existent collusion
119341,2025-08-12T22:10:01.436255,"....earth shattering. He and his brother could Drain The Swamp, which would be yet another campaign promise fulfilled. Fake News weak!"
O2,2025-08-12T22:10:01.537527,@119342 We've replied to your private message Claire.
119342,2025-08-12T22:10:01.638521,@O2 Answers to my questions and queries would be a great start but I assume from the lack of response so far that won't happen
119342,2025-08-12T22:10:01.739309,"@O2 But you haven't answered my questions or any queries, yet again"
119342,2025-08-12T22:10:01.839635,"@o2 continued disappointment, tired of this now. Vodafone looks rather inviting, shame after 15years 'loyalty' to o2, shame not reciprocated"
AskPayPal,2025-08-12T22:10:01.939921,@119343 We have responded to your DM! Check your messages. ^LAR
119343,2025-08-12T22:10:02.040846,@AskPayPal PLEASE REPLY TO ME MESSAGE
AskPayPal,2025-08-12T22:10:02.141653,@119344 Hi there! I'm sorry to hear about this situation. Please send us a DM with some more details about this! ^GH
119344,2025-08-12T22:10:02.242538,@AskPayPal would you class internet as infrastructure? If so why don't you accept invoices from ISP as verification of an address?
AskPayPal,2025-08-12T22:10:02.343445,@119345 Hi there! I'm sorry to hear about this situation. Please send us a DM with some more details about this! ^GH
119345,2025-08-12T22:10:02.444369,"@AskPayPal hi! I got a spam request for payment, I tried canceling but still shows on my account. How do I go about this?"
AskPayPal,2025-08-12T22:10:02.545297,"@119346 @115993 @119347 I've responded to your DM, please take a look. ^GH"
119346,2025-08-12T22:10:02.646222,"@115993 @AskPaypal @119347 Hi, help me please/Oi, me ajudem por favor"
AskPayPal,2025-08-12T22:10:02.747154,@119348 Hi! I have sent you a DM. :) ^HYC
119348,2025-08-12T22:10:02.848070,@AskPayPal Please check my Dm regarding a random withdrawal. Thanks
Uber_Support,2025-08-12T22:10:02.948330,@119349 We absolutely want to follow up right away. Please send us a DM with your email address so we can connect.
119349,2025-08-12T22:10:03.048636,when ya uber smells like weed
AmazonHelp,2025-08-12T22:10:03.148991,@119350 Please fill in your details using the link: https://t.co/JzRdscmdH9 and I'll get in touch with you soon. ^AK (2/2)
119350,2025-08-12T22:10:03.251014,.@115850 @AmazonHelp thanks for no replies whatsoever on my complaint.an you please tell me what more should I do? @119351 @1015
AmazonHelp,2025-08-12T22:10:03.360123,"@119352 Please share your details in the link provided above, we'll check the issue and assist you accordingly. (2/2) ^KA"
119352,2025-08-12T22:10:03.460573,@AmazonHelp Please don't help.u have very useless process of helping.if u want plz refund me atleast in time which is also now least expected
AmazonHelp,2025-08-12T22:10:03.560965,@119352 I'd like to help. Please write to us here: https://t.co/GIJyeYqKE0 and I'll reach out to you. ^SA
119352,2025-08-12T22:10:03.661198,@AmazonHelp Seriously!!! Ur customer service already told me cancel d order .. Amazon can't do anything to it..n till now it's showing expected on 25th👏
AmazonHelp,2025-08-12T22:10:03.761406,@119352 Apologies. We'd like to check this for you. Kindly contact us here : https://t.co/GRw1yCHukd.^SY
119352,2025-08-12T22:10:03.863413,@115850 ur app shows expected delivery on 25 th on 30th( prepaid orders).it's a regular customer realising not to buy anything further.
AmazonHelp,2025-08-12T22:10:03.964634,"@119353 Please don’t provide your order details, we consider them as personal information. Our Twitter page is visible to public. ^VM"
119353,2025-08-12T22:10:04.066778,@AmazonHelp 408-9273159-6369903.replacement ordered from 24th Oct.no1 contact me.Really worst courier service from Amazon
AmazonHelp,2025-08-12T22:10:04.167710,@119353 That's strange. Let us help you out here. Please drop your details here: https://t.co/TjZa6SQ9Hz (1/2) ^VM
AmazonHelp,2025-08-12T22:10:04.268643,@119352 Sorry to know about the delay with the order. It isn't possible for us to view your order/account via Twitter. (1/2) ^KA
119352,2025-08-12T22:10:04.370619,@AmazonHelp Order details!!! https://t.co/Rapb0ePnLK
AmazonHelp,2025-08-12T22:10:04.471173,@119352 Please don’t provide your order details as we consider them to be personal info. Our Twitter page is visible to public. ^JC
AmazonHelp,2025-08-12T22:10:04.572242,@119352 We'll not be able to check the details of your order via Twitter. Please fill in the same in the link provided. ^JC
AmazonHelp,2025-08-12T22:10:04.673189,@119353 so that we can get in touch with you. (2/2) ^VM
AmazonHelp,2025-08-12T22:10:04.773807,@119350 Apologies for the trouble with the delivery of the order. I'd like to take a closer look at this. ^AK (1/2)
AmazonHelp,2025-08-12T22:10:04.874288,@119354 I'm sorry your suit didn't arrive before Halloween. Did we miss the delivery date shown here: https://t.co/Y5jpI9gRhE? ^EA
119354,2025-08-12T22:10:04.974764,@115821 I ordered a ghilie suit with one day shipping for Halloween 3 days ago and guess what can’t do anything now because I don’t have it
AmazonHelp,2025-08-12T22:10:05.075084,@119355 : https://t.co/r8OjOjMdND and we'll look into this for you. (2/2) ^VM
119355,2025-08-12T22:10:05.175462,@118919 @119356 अगर आप नोकिया 6 mobile को समय पर  नही पहुंचा पाते हैं customer को  तो क्यों आप नोकिया का फ़ोन बेचते है
AmazonHelp,2025-08-12T22:10:05.276051,@119355 We understand you are yet to receive your order. Let us investigate this further. Please reach us via (1/2) ^VM
AmazonHelp,2025-08-12T22:10:05.376498,"@119357 ご心配をおかけしております。
お届け予定日の最終日を経過している場合は、状況を確認させていただければと存じます。
よろしければ、下記URLよりご連絡ください。https://t.co/J6YEizo6qC TY"
119357,2025-08-12T22:10:05.478920,アマゾンの荷物届かないんですけどー！！聞いたこと無い業者から配達されるから怪しいと思ってたらこれだよ。
AmazonHelp,2025-08-12T22:10:05.580045,@119358 That's quite a comment. Could you let us know if you have received an email from our team here https://t.co/8DAc10S7ww? ^VM
119358,2025-08-12T22:10:05.680953,@AmazonHelp I did...which said WE CANNOT DO ANYTHING...same as customer service...which triggered My reply...I am just asking basic question here
AmazonHelp,2025-08-12T22:10:05.781462,@119358 Sorry to know about that. Kindly reply to the email and we'll get in touch with an update. Appreciate your patience. ^AK
119358,2025-08-12T22:10:05.882042,@AmazonHelp I have replied to the email... lets see if I can get positive and useful response atleast once after so much escalation @115851
AmazonHelp,2025-08-12T22:10:05.982647,@119358 Thank you for confirming. You should hear an update from us soon. Keep an eye on your mailbox. ^MP
119358,2025-08-12T22:10:06.083813,@AmazonHelp @115851 @115850 @115821 so the social media escalation team is equally useless as the customer service team...hats off to incompetence
AmazonHelp,2025-08-12T22:10:06.185087,@119358 Thanks for the heads up! We'll check this and get back with an update soon. ^YP
119358,2025-08-12T22:10:06.287790,@AmazonHelp I have inked in detail at the given URL...hope to see some useful action
AmazonHelp,2025-08-12T22:10:06.388074,"@119358 We'd like to investigate this, please share your details here: https://t.co/cQVomR1pWz with detailed info. ^HA"
119358,2025-08-12T22:10:06.489518,"@115850 @115821 @AmazonHelp I waited 15 days,sent 10 email,was assured tht case escalted,todays response WE CANNOT HELP,customer service?"
AmazonHelp,2025-08-12T22:10:06.591377,"@118710 I'm sorry for the inconvenience.  Please see here: https://t.co/3gp9Udo7j5, for more info on accessing your invoice. ^LM"
118710,2025-08-12T22:10:06.692613,"Hi @AmazonHelp, when I placed my order I requested a VAT receipt either via email or post but I still haven’t had one?"
AppleSupport,2025-08-12T22:10:06.794295,@119359 Let's look at this together. Please DM us. https://t.co/GDrqU22YpT
119359,2025-08-12T22:10:06.895208,Yo @AppleSupport why is this happening to everyone I️ know?? Pls fix this issue. Anyone else? 🙄🙄🙄 https://t.co/XSuGhCN8c8
AppleSupport,2025-08-12T22:10:06.995485,"@119360 Thank you for reaching out. We are here to help. Please DM us, and we will continue from there. https://t.co/GDrqU22YpT"
119360,2025-08-12T22:10:07.096721,@115858 I’m going to need you guys to fix my iMessage and FaceTime..it’s not activating...spent an hour on the phone with support
AppleSupport,2025-08-12T22:10:07.197097,"@119361 Let's see what we can do to help. Please, send us a DM. We'll move forward from there. https://t.co/GDrqU22YpT"
119361,2025-08-12T22:10:07.298263,3rd pair of @115858 ear shaped earbuds to go bad in the left side. I am currently deaf in one ear after a workout #SaveMyRightEar
AppleSupport,2025-08-12T22:10:07.398781,@119362 We're sorry to hear you're still having problems. Please DM us and we'll go from there. https://t.co/GDrqU22YpT
119362,2025-08-12T22:10:07.500429,"4 hrs w/iOS 11.1, no change in battery consumption @AppleSupport. Thanks anyway. Can we have iOS 10 back @115858?"
AppleSupport,2025-08-12T22:10:07.601797,@119363 We're happy to help. Reach us here for more assistance: https://t.co/IBIY3vMgPj
119363,2025-08-12T22:10:07.706974,@116602 @AppleSupport Still can’t stream https://t.co/Hy1XDxdBuL
119363,2025-08-12T22:10:07.807316,@116602 @AppleSupport streaming has always been an issue to appletv. Who gets this one? https://t.co/kVi5FjLvDU
AppleSupport,2025-08-12T22:10:07.909004,@119364 We'd be happy to look into this with you. Please DM us. https://t.co/GDrqU22YpT
119364,2025-08-12T22:10:08.010381,"Dear @115858 I’m returning my iPhone 8+ bc its a POS. Screen wont auto lock, battery drains, horrible cell signal. Its crap. Happy 🎃"
AppleSupport,2025-08-12T22:10:08.110809,@119365 We'd like to take a look at this with you. Let's continue our conversation in DM. https://t.co/GDrqU22YpT
119365,2025-08-12T22:10:08.212117,Yo @115858 how come when the IPhone X coming out so soon my phone starts overheating and draining battery when I’m charging it?
Uber_Support,2025-08-12T22:10:08.313791,@119366 Sorry to hear about this! Send us a DM with your email address so we can connect.
119366,2025-08-12T22:10:08.414627,"@Uber_Support Yeah, I don’t think so. There’s a reason people have boycotted your company. I’m just going to delete @115877 and be done with it."
119366,2025-08-12T22:10:08.515731,"@115877 @115873 So to conclude this hangry rant, the avocado on my order had browned by the time it got here from 4 blocks away after a 1 hour drive."
119366,2025-08-12T22:10:08.616743,"@115877 .@115873 is really good at detecting surge pricing, but can’t bother to alert their drivers when there are huge events and street closures."
119366,2025-08-12T22:10:08.717857,"@115877 That’s why it took an hour and a half to get Poke’ from four blocks away, @115877."
119366,2025-08-12T22:10:08.818752,@115877 That means that the @115877 driver has to cross the street closures on Santa Monica TWICE!
119366,2025-08-12T22:10:08.920583,.@115877 didn’t know that there’s a #WEHOhalloween carnival happening today. So they sent my driver up the street to deliver on Sunset.
Uber_Support,2025-08-12T22:10:09.021315,@119367 We can take a look! Send us a note via https://t.co/QDn91HzZV0 so our team can get in touch.
119367,2025-08-12T22:10:09.122007,Hey @115873 ! I have this great new idea to rebrand #uberpool. Just call it “Uber 5X” Same great trips now with five times the hassle
Uber_Support,2025-08-12T22:10:09.223210,@119368 We can definitely take a look! Send us a DM with your email address and details so we can follow up.
119368,2025-08-12T22:10:09.324142,@Uber_Support @115873 @AskLyft @115879 Your driver was thee most unprofessional driver I have ever had. DM me for details. https://t.co/RY59CxcFYq
Uber_Support,2025-08-12T22:10:09.425655,@119369 Happy to further assist you. Can you please send us a DM (direct message) with your email address and additional details?
119369,2025-08-12T22:10:09.526393,"@115873 VERY unhappy with @115873 customer service. I've been incorrectly charged on  personal trips after attempting to use credits/points that I have on file. I've opened customer complaints but responses are unhelpful and issue not resolved, totaling over $150 of incorrect charges"
Uber_Support,2025-08-12T22:10:09.627087,@119370 Here to help. Send us a note at https://t.co/aZ6Ktyb1LN so our team can connect.
119370,2025-08-12T22:10:09.728760,"@Uber_Support We already had the issue with our meal resolved, but it would be great if you could get your driver software updated."
119370,2025-08-12T22:10:09.829863,@Uber_Support Thanks for reaching out
119370,2025-08-12T22:10:09.930839,"@115877 It would be awesome of the Driver app didn't allow things like that, maybe prevent multiple deliveries if &gt; 2 miles apart or something."
119370,2025-08-12T22:10:10.031507,Our dinner got to experience a 30 minute commute tonight while carpooling with another @115877 order 6-7 miles in the other direction
Uber_Support,2025-08-12T22:10:10.132968,@119371 Best way to check is to view the estimated fare in your app. Find out more here:  https://t.co/QRLZIgZDSB.
119371,2025-08-12T22:10:10.233543,@115873 @115879 is there a way to check peak riding hours to avoid surge pricing?
Tesco,2025-08-12T22:10:10.335035,"@119372 @119373 Can you please DM your full name, address and email? I can look into this for you. TY - Chris 2/2"
119372,2025-08-12T22:10:10.435627,"@Tesco @119373 2nd order in a row that failed to be delivered due to damage. No call, no email no apology - shameful"
Tesco,2025-08-12T22:10:10.536253,"@119374 Sorry Cindy, we aren't aware of any issues with the website. Did you manage to place it after this? - Ceri"
119374,2025-08-12T22:10:10.636983,"@Tesco Lost the slot of course. Went through fine this morning, now just have to wait till 10pm for our groceries. Brilliant. #everylittlehelps"
Tesco,2025-08-12T22:10:10.738154,"@119374 Hi Cindy, I'm sorry you had trouble booking a slot with the App and the website. Please could you DM your full name, address and email?"
119374,2025-08-12T22:10:10.838552,@Tesco Failed multiple times to submit my order for tomorrow both via website and app. V frustrating after a long night trick or treating :(
Tesco,2025-08-12T22:10:10.940298,"@119375 Sorry Nicole, please can you DM your full name, address, email address and order number? - Ceri"
119375,2025-08-12T22:10:11.040858,@Tesco I'll do that now.....
119375,2025-08-12T22:10:11.141143,@Tesco It was due 10pm till 11pm and it's now very late! Is it coming tonight?
119375,2025-08-12T22:10:11.241619,@Tesco can you track my order? Your grocery order  number is: 407967524 #deliveryfail
Tesco,2025-08-12T22:10:11.341882,"@119376 Sorry Darren, please can you DM your full name, address, email address and order number? - Ceri"
119376,2025-08-12T22:10:11.451462,Sat in all night waiting for @Tesco. Told via website its been delivered!!! Well not to us it hasn't. Guess I wont be eating tomorrow then.
Tesco,2025-08-12T22:10:11.552849,"@119377 Sorry Emma, did you receive your order or speak with someone? - Ceri"
119377,2025-08-12T22:10:11.659603,@Tesco We didn’t receive the order. I tried to call through but no one was picking up the phone.
Tesco,2025-08-12T22:10:11.759777,"@119377 If I can get this order out today for you, what times will you be available today? - David 2/2 https://t.co/py5Z991Bme"
119377,2025-08-12T22:10:11.860695,@Tesco I sent a private message in regards to this.
