UserID,Age,Gender,Location,Interests,SignupDate
1,58,Male,USA,"Gaming,Sports,Health",2020-07-28
2,61,Male,Australia,"Technology,Education,Health,Sports",2021-04-21
3,50,Male,Australia,"Health,Sports",2022-07-08
4,55,Female,USA,"Health,Fashion",2021-07-23
5,27,Male,Germany,Sports,2022-02-17
6,24,Female,Germany,"Technology,Travel,Gaming",2023-01-03
7,25,Female,USA,"Travel,Finance,Sports",2023-12-13
8,22,Male,UK,"Sports,Health,Education",2020-07-25
9,42,Female,India,"Fashion,Education,Health",2021-03-05
10,60,Female,USA,"Gaming,Sports",2022-08-04
11,42,Female,Australia,"Travel,Health",2020-04-24
12,32,Male,Germany,"Finance,Technology,Sports,Education",2024-01-10
13,38,Male,India,"Education,Sports,Fashion,Health",2021-05-20
14,65,Female,Australia,"Health,Fashion,Sports,Travel",2022-11-09
15,49,Male,USA,Fashion,2023-07-09
16,28,Female,Australia,Health,2022-02-20
17,56,Female,Australia,"Technology,Travel,Health",2020-08-22
18,61,Female,Germany,Finance,2022-06-09
19,28,Female,USA,"Fashion,Finance,Technology",2023-07-04
20,37,Male,UK,"Fashion,Finance,Health",2020-01-02
21,56,Female,India,Sports,2022-01-13
22,37,Male,USA,"Sports,Technology",2024-02-07
23,49,Male,Australia,"Fashion,Travel",2022-08-31
24,53,Male,Germany,"Gaming,Finance,Travel,Sports",2023-12-31
25,37,Female,Germany,"Education,Technology,Sports,Travel",2020-05-11
26,39,Male,Australia,"Gaming,Technology",2020-05-25
27,63,Male,UK,Technology,2021-11-07
28,22,Male,Germany,"Gaming,Finance,Sports,Health",2023-03-26
29,48,Male,India,"Gaming,Technology,Health,Education",2021-12-26
30,45,Female,India,Sports,2020-05-04
31,43,Female,USA,"Gaming,Sports",2023-01-03
32,46,Male,India,"Finance,Gaming",2021-05-26
33,22,Female,Australia,Technology,2023-08-28
34,52,Male,USA,"Fashion,Gaming",2022-09-21
35,48,Male,India,Fashion,2022-02-15
36,18,Female,Germany,"Finance,Gaming,Travel,Education",2023-09-17
37,63,Female,UK,"Finance,Sports",2020-04-29
38,55,Male,Germany,Technology,2023-04-11
39,48,Male,USA,Fashion,2020-05-20
40,56,Male,UK,"Sports,Finance,Education,Health",2023-05-02
41,20,Male,India,"Finance,Sports,Travel",2024-01-06
42,38,Male,Germany,"Fashion,Travel,Health,Education",2022-07-25
43,38,Male,USA,"Sports,Technology,Finance,Education",2022-11-02
44,34,Male,Germany,Gaming,2022-01-26
45,36,Male,India,"Technology,Travel,Finance",2021-09-05
46,60,Male,UK,"Sports,Technology,Travel",2023-02-07
47,27,Female,Germany,"Travel,Sports",2023-11-08
48,58,Female,Australia,"Finance,Health,Technology,Travel",2023-07-23
49,45,Female,USA,Travel,2020-09-24
50,58,Female,UK,"Health,Finance,Technology,Travel",2020-06-03
51,62,Male,Australia,Travel,2023-04-07
52,53,Male,India,"Technology,Fashion",2022-01-16
53,20,Female,UK,"Sports,Fashion",2023-02-20
54,44,Male,UK,"Fashion,Gaming",2020-02-20
55,29,Female,India,"Finance,Sports",2023-12-07
56,24,Female,USA,"Gaming,Sports,Education,Fashion",2021-09-17
57,32,Male,USA,"Health,Fashion",2021-07-24
58,22,Female,Germany,"Travel,Technology,Health,Fashion",2020-12-31
59,55,Female,USA,Health,2021-12-08
60,64,Female,India,Health,2023-03-26
61,30,Female,USA,"Technology,Finance,Health,Sports",2022-01-15
62,45,Male,Germany,"Sports,Travel,Fashion",2022-11-04
63,37,Female,Germany,"Finance,Education,Sports,Travel",2022-05-11
64,60,Female,UK,"Health,Finance,Technology",2021-09-14
65,36,Male,India,"Education,Gaming,Health",2023-10-15
66,31,Female,UK,Finance,2022-11-21
67,60,Female,USA,"Finance,Sports",2021-02-11
68,27,Male,USA,"Education,Finance",2020-05-29
69,47,Female,Australia,"Health,Gaming",2022-03-29
70,33,Male,USA,Health,2021-03-24
71,29,Female,USA,"Sports,Gaming",2020-09-30
72,47,Female,India,"Education,Sports,Travel,Gaming",2022-07-10
73,34,Male,Germany,"Gaming,Fashion,Education,Technology",2024-01-01
74,36,Male,Germany,"Travel,Finance,Technology",2020-10-10
75,27,Male,India,"Gaming,Technology",2022-04-29
76,44,Female,Australia,"Health,Technology,Sports,Gaming",2022-03-08
77,55,Male,Australia,"Education,Technology,Fashion,Travel",2022-03-09
78,44,Male,India,"Finance,Gaming",2022-09-21
79,19,Female,Germany,"Fashion,Health,Gaming,Sports",2023-06-28
80,52,Male,India,Sports,2023-08-09
81,45,Male,India,"Technology,Fashion",2022-02-15
82,38,Male,India,"Travel,Health,Gaming",2021-07-23
83,44,Female,USA,"Technology,Travel,Finance,Education",2021-12-17
84,32,Male,USA,Gaming,2021-02-12
85,19,Male,UK,"Education,Travel",2020-08-22
86,54,Male,India,"Travel,Sports,Finance",2023-05-28
87,65,Male,UK,"Sports,Finance,Technology",2021-09-30
88,54,Female,India,"Sports,Finance",2023-11-15
89,58,Male,USA,"Sports,Health,Finance",2020-03-25
90,40,Female,Germany,Travel,2020-01-26
91,44,Female,USA,"Travel,Education,Gaming,Sports",2022-06-10
92,29,Female,Australia,"Education,Gaming,Travel,Finance",2021-07-03
93,38,Male,USA,"Education,Sports,Gaming",2023-03-13
94,57,Female,Germany,Education,2021-10-27
95,29,Female,UK,"Finance,Fashion,Health",2023-05-05
96,62,Female,Australia,Gaming,2020-06-24
97,33,Female,India,"Education,Travel",2023-12-28
98,49,Female,USA,Finance,2021-03-29
99,43,Male,Germany,"Education,Finance,Health",2021-12-05
100,45,Female,Germany,"Finance,Fashion,Health,Sports",2020-09-04
